G_NO_LESSON | 0 | art | Game="Формы предметов ⬜"
L_NO_GAME | 0 | russian | Lesson="Урок 2: Обведение контуров"
L_NO_GAME | 0 | russian | Lesson="Урок 3: Рисование линий"
L_NO_GAME | 0 | russian | Lesson="Урок 5: Рисование узоров"
L_NO_GAME | 0 | russian | Lesson="Урок 7: Петли и овалы"
L_NO_GAME | 0 | russian | Lesson="Урок 8: Письмо элементов"
L_NO_GAME | 0 | world | Lesson="Окружающий мир"
G_NO_LESSON | 1 | art | Game="Цвета радуги 🌈"
G_NO_LESSON | 1 | art | Game="Смешивание цветов 🎨"
G_NO_LESSON | 1 | art | Game="Геометрические фигуры 🔷"
G_NO_LESSON | 1 | art | Game="Линии и штриховка ✏️"
G_NO_LESSON | 1 | art | Game="Краски и кисточки 🖌️"
G_NO_LESSON | 1 | art | Game="Художник и творчество 🎨"
G_NO_LESSON | 1 | art | Game="Основные цвета 🎨"
G_NO_LESSON | 1 | art | Game="Смешивание цветов 🌈"
G_NO_LESSON | 1 | art | Game="Тёплые и холодные цвета ❄️🔥"
G_NO_LESSON | 1 | art | Game="Штриховка и раскрашивание ✏️"
G_NO_LESSON | 1 | art | Game="Работа красками 🖌️"
L_NO_GAME | 1 | art | Lesson="Изобразительное искусство"
G_NO_LESSON | 1 | english | Game="Цвета по-английски 🎨"
G_NO_LESSON | 1 | english | Game="Числа 1-10 🔢"
G_NO_LESSON | 1 | english | Game="Животные 🐱"
G_NO_LESSON | 1 | english | Game="Приветствие и прощание 👋"
G_NO_LESSON | 1 | english | Game="Числа 6-10 🔢"
L_NO_GAME | 1 | english | Lesson="Иностранный язык"
L_NO_GAME | 1 | english | Lesson="Урок 2: What is your name? 📛"
L_NO_GAME | 1 | english | Lesson="Урок 3: Goodbye! 👋"
L_NO_GAME | 1 | english | Lesson="Урок 4: Colours 🎨"
L_NO_GAME | 1 | english | Lesson="Урок 5: Numbers 1-5 🔢"
L_NO_GAME | 1 | english | Lesson="Урок 6: Numbers 6-10 🔢"
G_NO_LESSON | 1 | literature | Game="Стихи А.Л. Барто 📚"
G_NO_LESSON | 1 | literature | Game="Стихи А.Л. Барто 🧸"
G_NO_LESSON | 1 | literature | Game="Стихи С.Я. Маршака 📚"
G_NO_LESSON | 1 | literature | Game="Стихи С.В. Михалкова 📏"
G_NO_LESSON | 1 | literature | Game="Стихи о детстве 🌳"
L_NO_GAME | 1 | literature | Lesson="Литературное чтение"
L_NO_GAME | 1 | literature | Lesson="Урок 4: 🐔 «Курочка Ряба»"
L_NO_GAME | 1 | literature | Lesson="Урок 5: 🐟 А.С. Пушкин «Сказка о рыбаке и рыбке»"
L_NO_GAME | 1 | literature | Lesson="Урок 6: 🪰 К.И. Чуковский «Муха-Цокотуха»"
L_NO_GAME | 1 | literature | Lesson="Урок 8: 🧸 А.Л. Барто «Игрушки»"
L_NO_GAME | 1 | literature | Lesson="Урок 9: 🐦 С.Я. Маршак «Детям»"
L_NO_GAME | 1 | literature | Lesson="Урок 10: 📏 С.В. Михалков «Дети»"
L_NO_GAME | 1 | literature | Lesson="Урок 11: 🏫 В.Д. Берестов «Первый в школе»"
L_NO_GAME | 1 | literature | Lesson="Урок 12: 🌳 И.А. Бунин «Детство»"
G_NO_LESSON | 1 | math | Game="Числа 1-5 🎲"
G_NO_LESSON | 1 | math | Game="Сложение до 10 ➕"
G_NO_LESSON | 1 | math | Game="Вычитание до 10 ➖"
G_NO_LESSON | 1 | math | Game="Сравнение чисел ⚖️"
G_NO_LESSON | 1 | math | Game="Состав числа 🧮"
G_NO_LESSON | 1 | math | Game="Задачи на смекалку 🧩"
G_NO_LESSON | 1 | math | Game="Числа 1-5 🔢"
L_NO_GAME | 1 | math | Lesson="Математика"
L_NO_GAME | 1 | math | Lesson="Урок 1: 🔢 Число и цифра 1"
L_NO_GAME | 1 | math | Lesson="Урок 2: 🦢 Число и цифра 2"
L_NO_GAME | 1 | math | Lesson="Урок 3: 🐰 Число и цифра 3"
L_NO_GAME | 1 | math | Lesson="Урок 5: 🪑 Числа 4 и 5"
L_NO_GAME | 1 | math | Lesson="Урок 9: ⬆️ Прибавить и вычесть 1"
L_NO_GAME | 1 | math | Lesson="Урок 10: ⬆️⬆️ Прибавить и вычесть 2"
L_NO_GAME | 1 | math | Lesson="Урок 11: ⬆️⬆️⬆️ Прибавить и вычесть 3"
L_NO_GAME | 1 | math | Lesson="Урок 13: 📏 Точка и линия"
G_NO_LESSON | 1 | music | Game="Детские песни 🎶"
G_NO_LESSON | 1 | music | Game="Народные песни 🎵"
G_NO_LESSON | 1 | music | Game="Духовые инструменты 🎺"
G_NO_LESSON | 1 | music | Game="Ритм и темп 🥁"
G_NO_LESSON | 1 | music | Game="Громкость и динамика 🔊"
G_NO_LESSON | 1 | music | Game="Песня, танец, марш 🎵"
G_NO_LESSON | 1 | music | Game="Русские народные песни 🎶"
G_NO_LESSON | 1 | music | Game="Композиторы для детей 🎼"
G_NO_LESSON | 1 | pe | Game="Гимнастика и разминка 🤸"
G_NO_LESSON | 1 | pe | Game="Ходьба и бег 🏃"
G_NO_LESSON | 1 | pe | Game="Прыжки 🦘"
G_NO_LESSON | 1 | pe | Game="Подвижные игры 🎮"
G_NO_LESSON | 1 | pe | Game="Игры с мячом ⚽"
G_NO_LESSON | 1 | pe | Game="Лыжная подготовка 🎿"
G_NO_LESSON | 1 | pe | Game="Спорт и здоровье 🏆"
G_NO_LESSON | 1 | pe | Game="Строевые упражнения 🏃"
G_NO_LESSON | 1 | pe | Game="Бег и прыжки 🏃‍♂️"
L_NO_GAME | 1 | pe | Lesson="Физическая культура"
G_NO_LESSON | 1 | reading | Game="Предлоги 📍"
G_NO_LESSON | 1 | reading | Game="Составь рассказ 📖"
G_NO_LESSON | 1 | reading | Game="Сказка 🏰"
G_NO_LESSON | 1 | reading | Game="Буквы и звуки 🔤"
G_NO_LESSON | 1 | reading | Game="Слоги 📖"
G_NO_LESSON | 1 | reading | Game="Слова и предложения 📝"
G_NO_LESSON | 1 | reading | Game="Ударение ⚡"
G_NO_LESSON | 1 | reading | Game="Речь и общение 💬"
G_NO_LESSON | 1 | reading | Game="Сказки и их герои 🏰"
G_NO_LESSON | 1 | reading | Game="Загадки 🧩"
G_NO_LESSON | 1 | reading | Game="Пословицы и поговорки 💬"
G_NO_LESSON | 1 | reading | Game="Рассказывание историй 📖"
G_NO_LESSON | 1 | reading | Game="Вежливые слова 🙏"
L_NO_GAME | 1 | reading | Lesson="Развитие речи"
L_NO_GAME | 1 | reading | Lesson="Урок 1: Упражнения для языка"
L_NO_GAME | 1 | reading | Lesson="Урок 2: Упражнения для губ"
L_NO_GAME | 1 | reading | Lesson="Урок 3: Упражнения для щёк"
L_NO_GAME | 1 | reading | Lesson="Урок 7: Сколько звуков в слове?"
L_NO_GAME | 1 | reading | Lesson="Урок 11: Слова-помощники"
L_NO_GAME | 1 | reading | Lesson="Урок 12: Что такое рассказ?"
L_NO_GAME | 1 | reading | Lesson="Урок 13: Составляем рассказ по картинке"
L_NO_GAME | 1 | reading | Lesson="Урок 14: Рассказ из личного опыта"
L_NO_GAME | 1 | reading | Lesson="Урок 15: Придумываем сказку"
L_NO_GAME | 1 | reading | Lesson="Урок 19: Учим стихи"
L_NO_GAME | 1 | reading | Lesson="Урок 20: Читаем стихи выразительно"
G_NO_LESSON | 1 | russian | Game="Слоги 📊"
G_NO_LESSON | 1 | russian | Game="Ударение ´"
G_NO_LESSON | 1 | russian | Game="Правописание ЖИ-ШИ 🖊️"
L_NO_GAME | 1 | russian | Lesson="Русский язык"
L_NO_GAME | 1 | russian | Lesson="Урок 4: 📊 Деление слов на слоги"
L_NO_GAME | 1 | russian | Lesson="Урок 5: 📝 Слово и его значение"
L_NO_GAME | 1 | russian | Lesson="Урок 9: 🌙 Мягкий знак на конце слов"
G_NO_LESSON | 1 | tech | Game="Бумага и её свойства 📄"
G_NO_LESSON | 1 | tech | Game="Инструменты ✂️"
G_NO_LESSON | 1 | tech | Game="Аппликации 🎨"
G_NO_LESSON | 1 | tech | Game="Геометрические фигуры в аппликации 🔷"
G_NO_LESSON | 1 | tech | Game="Поделки 🎁"
G_NO_LESSON | 1 | tech | Game="Безопасность при работе ⚠️"
G_NO_LESSON | 1 | tech | Game="Работа с бумагой 📄"
G_NO_LESSON | 1 | tech | Game="Оригами 🦢"
G_NO_LESSON | 1 | tech | Game="Лепка из пластилина 🎨"
G_NO_LESSON | 1 | tech | Game="Природные материалы 🌿"
G_NO_LESSON | 1 | tech | Game="Аппликация ✂️"
G_NO_LESSON | 1 | tech | Game="Инструменты для труда 🔧"
L_NO_GAME | 1 | tech | Lesson="Технология"
G_NO_LESSON | 1 | world | Game="Правила дорожного движения 🚦"
L_NO_GAME | 1 | world | Lesson="Урок 8: Правила безопасности"
G_NO_LESSON | 2 | art | Game="Жанры живописи 🎨"
G_NO_LESSON | 2 | art | Game="Народные промыслы 🏺"
G_NO_LESSON | 2 | art | Game="Цвета и оттенки 🌈"
L_NO_GAME | 2 | art | Lesson="Изобразительное искусство"
L_NO_GAME | 2 | art | Lesson="Урок 2: Пейзаж"
L_NO_GAME | 2 | art | Lesson="Урок 3: Натюрморт"
L_NO_GAME | 2 | art | Lesson="Урок 4: Портрет"
G_NO_LESSON | 2 | english | Game="Соедини слово и перевод"
G_NO_LESSON | 2 | english | Game="Найди правильный перевод"
G_NO_LESSON | 2 | english | Game="Цвета по-английски"
G_NO_LESSON | 2 | english | Game="Числа по-английски"
G_NO_LESSON | 2 | english | Game="Животные"
L_NO_GAME | 2 | english | Lesson="Иностранный язык"
G_NO_LESSON | 2 | literature | Game="Авторы и сказки 📚"
G_NO_LESSON | 2 | literature | Game="Герои русских сказок 🏰"
G_NO_LESSON | 2 | literature | Game="Басни Крылова 🦊"
G_NO_LESSON | 2 | literature | Game="Детские поэты 🎭"
G_NO_LESSON | 2 | literature | Game="События сказок 📖"
G_NO_LESSON | 2 | literature | Game="Зарубежные сказки 🌍"
G_NO_LESSON | 2 | literature | Game="Рассказы Л.Н. Толстого 📚"
G_NO_LESSON | 2 | literature | Game="Стихи К.И. Чуковского 🎭"
L_NO_GAME | 2 | literature | Lesson="Литературное чтение"
L_NO_GAME | 2 | literature | Lesson="Урок 1: Русские народные сказки"
L_NO_GAME | 2 | literature | Lesson="Урок 2: Сказка «Колобок»"
L_NO_GAME | 2 | literature | Lesson="Урок 3: Сказка «Теремок»"
L_NO_GAME | 2 | literature | Lesson="Урок 5: А.С. Пушкин"
L_NO_GAME | 2 | literature | Lesson="Урок 7: Л.Н. Толстой"
L_NO_GAME | 2 | literature | Lesson="Урок 8: К.И. Чуковский"
L_NO_GAME | 2 | literature | Lesson="Урок 9: Шарль Перро"
L_NO_GAME | 2 | literature | Lesson="Урок 10: Ганс Христиан Андерсен"
G_NO_LESSON | 2 | math | Game="Таблица умножения на 2 ✖️"
G_NO_LESSON | 2 | math | Game="Таблица умножения на 3 ✖️"
G_NO_LESSON | 2 | math | Game="Деление на 2 и 3 ➗"
G_NO_LESSON | 2 | math | Game="Сложение до 100 ➕"
G_NO_LESSON | 2 | math | Game="Вычитание до 100 ➖"
G_NO_LESSON | 2 | math | Game="Сравнение чисел ⚖️"
G_NO_LESSON | 2 | math | Game="Периметр фигур 📐"
G_NO_LESSON | 2 | math | Game="Числовые цепочки 🔗"
G_NO_LESSON | 2 | math | Game="Числа от 10 до 20 🔢"
G_NO_LESSON | 2 | math | Game="Двузначные числа и разряды 📊"
G_NO_LESSON | 2 | math | Game="Что такое умножение? ✖️"
G_NO_LESSON | 2 | math | Game="Решение задач 📝"
L_NO_GAME | 2 | math | Lesson="Математика"
G_NO_LESSON | 2 | music | Game="Три кита музыки 🎵"
L_NO_GAME | 2 | music | Lesson="Урок 1: Песня, танец, марш"
L_NO_GAME | 2 | music | Lesson="Урок 3: Темп и динамика"
G_NO_LESSON | 2 | pe | Game="Акробатика 🤸"
G_NO_LESSON | 2 | pe | Game="Подвижные игры 🎮"
G_NO_LESSON | 2 | pe | Game="Лыжная подготовка ⛷️"
L_NO_GAME | 2 | pe | Lesson="Физическая культура"
L_NO_GAME | 2 | pe | Lesson="Урок 2: Общеразвивающие упражнения"
L_NO_GAME | 2 | pe | Lesson="Урок 3: Акробатические упражнения"
L_NO_GAME | 2 | pe | Lesson="Урок 4: Упражнения на равновесие"
L_NO_GAME | 2 | pe | Lesson="Урок 7: Метание"
L_NO_GAME | 2 | pe | Lesson="Урок 8: Игры с бегом"
G_NO_LESSON | 2 | projects | Game="Планирование проекта"
G_NO_LESSON | 2 | projects | Game="Творческий проект"
G_NO_LESSON | 2 | projects | Game="Выбор темы проекта 💡"
G_NO_LESSON | 2 | projects | Game="Сбор информации 🔍"
G_NO_LESSON | 2 | projects | Game="Создание продукта 🛠️"
G_NO_LESSON | 2 | projects | Game="Защита проекта 🎤"
G_NO_LESSON | 2 | projects | Game="Работа в команде 👥"
L_NO_GAME | 2 | projects | Lesson="Проектная деятельность"
G_NO_LESSON | 2 | russian | Game="Части речи 📚"
G_NO_LESSON | 2 | russian | Game="Существительные 🎨"
G_NO_LESSON | 2 | russian | Game="Прилагательные 🌈"
G_NO_LESSON | 2 | russian | Game="Глаголы 🏃"
G_NO_LESSON | 2 | russian | Game="ЖИ-ШИ, ЧА-ЩА, ЧУ-ЩУ 📝"
G_NO_LESSON | 2 | russian | Game="Безударные гласные 🔍"
G_NO_LESSON | 2 | russian | Game="Парные согласные 🎯"
G_NO_LESSON | 2 | russian | Game="Разделительный Ь ❄️"
G_NO_LESSON | 2 | russian | Game="Правописание приставок 📝"
G_NO_LESSON | 2 | russian | Game="Правописание суффиксов ✏️"
L_NO_GAME | 2 | russian | Lesson="Русский язык"
G_NO_LESSON | 2 | tech | Game="Материалы и инструменты 🔧"
G_NO_LESSON | 2 | tech | Game="Природный материал 🌿"
G_NO_LESSON | 2 | tech | Game="Работа с бумагой 📄"
G_NO_LESSON | 2 | tech | Game="Работа с пластилином 🎨"
L_NO_GAME | 2 | tech | Lesson="Технология"
L_NO_GAME | 2 | tech | Lesson="Урок 1: Свойства бумаги"
L_NO_GAME | 2 | tech | Lesson="Урок 2: Аппликация «Цветы»"
L_NO_GAME | 2 | tech | Lesson="Урок 4: Объёмные поделки"
L_NO_GAME | 2 | tech | Lesson="Урок 5: Поделки из шишек"
L_NO_GAME | 2 | tech | Lesson="Урок 6: Аппликация из листьев"
G_NO_LESSON | 2 | world | Game="Группы животных 🦁"
L_NO_GAME | 2 | world | Lesson="Окружающий мир"
L_NO_GAME | 2 | world | Lesson="Урок 6: Животные и их группы"
G_NO_LESSON | 3 | art | Game="Цвета 🎨"
G_NO_LESSON | 3 | art | Game="Линии и фигуры ✏️"
G_NO_LESSON | 3 | art | Game="Жанры живописи 🖼️"
G_NO_LESSON | 3 | art | Game="Народные промыслы 🪆"
G_NO_LESSON | 3 | art | Game="Декоративное творчество ✂️"
L_NO_GAME | 3 | art | Lesson="Изобразительное искусство"
G_NO_LESSON | 3 | english | Game="Numbers in English"
G_NO_LESSON | 3 | english | Game="Colors in English"
G_NO_LESSON | 3 | english | Game="Family Members"
G_NO_LESSON | 3 | english | Game="Animals in English"
G_NO_LESSON | 3 | english | Game="Food and Drinks"
G_NO_LESSON | 3 | english | Game="Days and Months"
G_NO_LESSON | 3 | english | Game="Body Parts"
G_NO_LESSON | 3 | english | Game="Basic Phrases"
L_NO_GAME | 3 | english | Lesson="Иностранный язык"
G_NO_LESSON | 3 | ethics | Game="Вежливые слова"
G_NO_LESSON | 3 | ethics | Game="Культура речи"
G_NO_LESSON | 3 | ethics | Game="Работа в команде"
G_NO_LESSON | 3 | ethics | Game="Решение конфликтов"
G_NO_LESSON | 3 | informatics | Game="Информация и компьютер"
G_NO_LESSON | 3 | informatics | Game="Алгоритмы"
G_NO_LESSON | 3 | informatics | Game="Логика и множества"
G_NO_LESSON | 3 | informatics | Game="Безопасность компьютера"
L_NO_GAME | 3 | informatics | Lesson="Информатика"
G_NO_LESSON | 3 | literature | Game="Русские народные сказки"
G_NO_LESSON | 3 | literature | Game="А.С. Пушкин"
G_NO_LESSON | 3 | literature | Game="Басни Крылова"
G_NO_LESSON | 3 | literature | Game="Русские писатели о природе и детях"
G_NO_LESSON | 3 | literature | Game="Зарубежные сказки"
G_NO_LESSON | 3 | literature | Game="Поэзия о природе"
G_NO_LESSON | 3 | literature | Game="Детские писатели"
L_NO_GAME | 3 | literature | Lesson="Литературное чтение"
G_NO_LESSON | 3 | math | Game="Таблица умножения: Соедини пары"
G_NO_LESSON | 3 | math | Game="Найди правильный ответ"
G_NO_LESSON | 3 | math | Game="Деление: Соедини пары"
G_NO_LESSON | 3 | math | Game="Расставь по порядку"
G_NO_LESSON | 3 | math | Game="Периметр и площадь"
G_NO_LESSON | 3 | math | Game="Задачи на умножение"
G_NO_LESSON | 3 | math | Game="Задачи на деление"
G_NO_LESSON | 3 | math | Game="Деление с остатком"
L_NO_GAME | 3 | math | Lesson="Математика"
G_NO_LESSON | 3 | music | Game="Русские композиторы 🎼"
G_NO_LESSON | 3 | music | Game="Русские народные песни 🎵"
G_NO_LESSON | 3 | pe | Game="Гимнастика 🤸"
G_NO_LESSON | 3 | pe | Game="Лёгкая атлетика 🏃"
G_NO_LESSON | 3 | pe | Game="Спортивные игры ⚽"
G_NO_LESSON | 3 | pe | Game="Зимние виды спорта ⛷️"
L_NO_GAME | 3 | pe | Lesson="Физическая культура"
G_NO_LESSON | 3 | robotics | Game="Тест: Урок 1: 📋 Детали Lego"
G_NO_LESSON | 3 | robotics | Game="Тест: Урок 2: 📋 Соединения деталей"
G_NO_LESSON | 3 | robotics | Game="Тест: Урок 3: 📋 Базовые конструкции"
G_NO_LESSON | 3 | robotics | Game="Тест: Урок 4: 📋 Простые машины"
G_NO_LESSON | 3 | robotics | Game="Тест: Урок 5: 📋 Зубчатые передачи"
G_NO_LESSON | 3 | robotics | Game="Тест: Урок 6: 📋 Рычаги и баланс"
G_NO_LESSON | 3 | robotics | Game="Тест: Урок 7: 📋 Колёсные механизмы"
G_NO_LESSON | 3 | robotics | Game="Тест: Урок 8: 📋 Кулачковые механизмы"
G_NO_LESSON | 3 | robotics | Game="Тест: Урок 9: 📋 Введение в программирование"
G_NO_LESSON | 3 | robotics | Game="Тест: Урок 10: 📋 Управление двигателем"
G_NO_LESSON | 3 | robotics | Game="Тест: Урок 11: 📋 Движение робота"
G_NO_LESSON | 3 | robotics | Game="Тест: Урок 12: 📋 Итоговый проект"
G_NO_LESSON | 3 | russian | Game="Корень слова"
G_NO_LESSON | 3 | russian | Game="Приставка"
G_NO_LESSON | 3 | russian | Game="Суффикс"
G_NO_LESSON | 3 | russian | Game="Окончание"
G_NO_LESSON | 3 | russian | Game="Состав слова"
G_NO_LESSON | 3 | russian | Game="Падежи существительных"
G_NO_LESSON | 3 | russian | Game="Части речи"
G_NO_LESSON | 3 | russian | Game="Род имён прилагательных"
G_NO_LESSON | 3 | russian | Game="Время глагола"
G_NO_LESSON | 3 | russian | Game="Главные члены предложения"
G_NO_LESSON | 3 | russian | Game="Правописание НЕ с глаголами"
G_NO_LESSON | 3 | russian | Game="Викторина: всё о слове"
G_NO_LESSON | 3 | russian | Game="Разбор слова по составу"
G_NO_LESSON | 3 | russian | Game="Число прилагательных"
G_NO_LESSON | 3 | russian | Game="Склонение прилагательных"
G_NO_LESSON | 3 | russian | Game="Число глаголов"
G_NO_LESSON | 3 | russian | Game="Второстепенные члены предложения"
G_NO_LESSON | 3 | russian | Game="Склонения существительных"
G_NO_LESSON | 3 | russian | Game="Безударные гласные"
L_NO_GAME | 3 | russian | Lesson="Русский язык"
G_NO_LESSON | 3 | safety | Game="Светофор"
G_NO_LESSON | 3 | safety | Game="Пешеход"
G_NO_LESSON | 3 | safety | Game="Безопасность дома"
G_NO_LESSON | 3 | safety | Game="Дорожные знаки"
G_NO_LESSON | 3 | safety | Game="Первая помощь"
L_NO_GAME | 3 | safety | Lesson="ОБЖ"
G_NO_LESSON | 3 | tech | Game="Работа с бумагой 📄"
G_NO_LESSON | 3 | tech | Game="Аппликация 🎨"
G_NO_LESSON | 3 | tech | Game="Лепка 🧸"
G_NO_LESSON | 3 | tech | Game="Оригами и моделирование 🦢"
L_NO_GAME | 3 | tech | Lesson="Технология"
G_NO_LESSON | 3 | world | Game="Природные сообщества"
G_NO_LESSON | 3 | world | Game="Организм человека"
G_NO_LESSON | 3 | world | Game="Полезные ископаемые"
G_NO_LESSON | 3 | world | Game="Экология и охрана"
G_NO_LESSON | 3 | world | Game="Ярусы леса"
G_NO_LESSON | 3 | world | Game="Животные сообществ"
L_NO_GAME | 3 | world | Lesson="Окружающий мир"
G_NO_LESSON | 4 | art | Game="Жанры живописи"
G_NO_LESSON | 4 | art | Game="Натюрморт"
G_NO_LESSON | 4 | art | Game="Портрет"
G_NO_LESSON | 4 | art | Game="Пейзаж"
G_NO_LESSON | 4 | art | Game="Русские художники"
G_NO_LESSON | 4 | art | Game="Музеи России"
G_NO_LESSON | 4 | art | Game="Рисунок и графика"
G_NO_LESSON | 4 | art | Game="Народное искусство"
G_NO_LESSON | 4 | art | Game="Основы цвета"
G_NO_LESSON | 4 | art | Game="Композиция"
G_NO_LESSON | 4 | art | Game="Свет и тень"
G_NO_LESSON | 4 | art | Game="Творческий проект"
L_NO_GAME | 4 | art | Lesson="Изобразительное искусство"
G_NO_LESSON | 4 | english | Game="Приветствие"
G_NO_LESSON | 4 | english | Game="Представление"
G_NO_LESSON | 4 | english | Game="Вежливые слова"
G_NO_LESSON | 4 | english | Game="Вопросительные слова"
G_NO_LESSON | 4 | english | Game="Цвета"
G_NO_LESSON | 4 | english | Game="Числа"
G_NO_LESSON | 4 | english | Game="Части тела"
G_NO_LESSON | 4 | english | Game="Одежда"
G_NO_LESSON | 4 | english | Game="Школьные принадлежности"
G_NO_LESSON | 4 | english | Game="В классе"
G_NO_LESSON | 4 | english | Game="Школьные предметы"
G_NO_LESSON | 4 | english | Game="Расписание"
G_NO_LESSON | 4 | english | Game="Члены семьи"
G_NO_LESSON | 4 | english | Game="Мой дом"
G_NO_LESSON | 4 | english | Game="Моя комната"
G_NO_LESSON | 4 | english | Game="Будни и выходные"
G_NO_LESSON | 4 | english | Game="Продукты"
G_NO_LESSON | 4 | english | Game="Напитки"
G_NO_LESSON | 4 | english | Game="Фрукты и овощи"
G_NO_LESSON | 4 | english | Game="В кафе"
G_NO_LESSON | 4 | english | Game="Транспорт"
G_NO_LESSON | 4 | english | Game="В городе"
G_NO_LESSON | 4 | english | Game="Достопримечательности"
G_NO_LESSON | 4 | english | Game="Страны"
L_NO_GAME | 4 | english | Lesson="Иностранный язык"
G_NO_LESSON | 4 | geography | Game="Россия на карте"
G_NO_LESSON | 4 | geography | Game="Субъекты России"
G_NO_LESSON | 4 | geography | Game="Столица России"
G_NO_LESSON | 4 | geography | Game="Города-миллионники"
G_NO_LESSON | 4 | geography | Game="Реки России"
G_NO_LESSON | 4 | geography | Game="Озёра России"
G_NO_LESSON | 4 | geography | Game="Моря России"
G_NO_LESSON | 4 | geography | Game="Водные ресурсы"
G_NO_LESSON | 4 | geography | Game="Природные зоны России"
G_NO_LESSON | 4 | geography | Game="Животный мир природных зон"
G_NO_LESSON | 4 | geography | Game="Полезные ископаемые"
G_NO_LESSON | 4 | geography | Game="Охрана природы России"
L_NO_GAME | 4 | geography | Lesson="География: Россия"
G_NO_LESSON | 4 | history | Game="Истоки Руси"
G_NO_LESSON | 4 | history | Game="Первые князья"
G_NO_LESSON | 4 | history | Game="Князь Игорь и Ольга"
G_NO_LESSON | 4 | history | Game="Святослав"
G_NO_LESSON | 4 | history | Game="Князь Владимир"
G_NO_LESSON | 4 | history | Game="Распространение христианства"
